"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"sNPDR-absolute",2,5,NA,0.0161795273030972,0.0169491525423729,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,445.603,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,5,NA,0.0173239029219483,0.0212765957446809,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,135.607,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,5,NA,0.0173003994828011,0.0149253731343284,0,0,10,0,0,0.2,0,0,1,-0.0143576830751316,-0.0327736762672231,0.428571428571429,50.7620000000002,500,1000,0,10,0,0,NA,NA
"Cox",2,5,NA,0.0175987590813807,0.025,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,3.15599999999995,500,1000,0,10,0,0,NA,NA
"SVM",2,5,NA,0.0199030829918736,0.0434782608695652,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,85.7980000000002,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,5,NA,0.02,0.142857142857143,5,1,1,0.1,0.02,0.02,0.05,0.05,0.1,0.0574307323005264,0,0,16.8959999999997,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,6,NA,0.0179464306277796,0.0208333333333333,0,1,2,0,0.02,0.04,0,0.05,0.2,-0.0143576830751316,0,0.0476190476190476,151.51,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,6,NA,0.0224035715765236,0.0714285714285714,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,188.849,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,6,NA,0.0166569669827513,0.0125,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,85.9390000000003,500,1000,0,10,0,0,NA,NA
"Cox",2,6,NA,0.0252025180504426,0.166666666666667,5,1,1,0.1,0.02,0.02,0.05,0.05,0.1,0.0574307323005264,0,0,4.21000000000004,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,7,NA,0.0162174813319699,0.02,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,203.274,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,7,NA,0.0151701531322496,0.00952380952380952,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,325.128,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,7,NA,0.0192826279289872,0.0384615384615385,0,1,10,0,0.02,0.2,0,0.05,1,-0.0143576830751316,0,0.428571428571429,32.7479999999996,500,1000,0,10,0,0,NA,NA
"Cox",2,7,NA,0.017242828648194,0.0192307692307692,0,0,1,0,0,0.02,0,0,0.1,-0.0143576830751316,-0.0327736762672231,0,10.3400000000001,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,7,NA,0.0197904985081015,0.0087719298245614,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,59.2510000000002,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,8,NA,0.0171635630242025,0.012987012987013,0,0,1,0,0,0.02,0,0,0.1,-0.0143576830751316,-0.0327736762672231,0,120.906,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,8,NA,0.0153303451955948,0.032258064516129,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,220.071,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,8,NA,0.019852647507254,0.037037037037037,0,1,10,0,0.02,0.2,0,0.05,1,-0.0143576830751316,0,0.428571428571429,27.0569999999998,500,1000,0,10,0,0,NA,NA
"Cox",2,8,NA,0.0179371386107069,0.0416666666666667,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,3.85400000000027,500,1000,0,10,0,0,NA,NA
"SVM",2,8,NA,0.0191953172636106,0.0714285714285714,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,36.9589999999998,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,9,NA,0.0143958457073311,0.0131578947368421,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,130.972000000001,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,9,NA,0.015322857848371,0.0196078431372549,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,182.831999999999,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,9,NA,0.017791941669295,0.0204081632653061,0,2,10,0,0.04,0.2,0,0.1,1,-0.0143576830751316,0.0327736762672231,0.428571428571429,51.8370000000004,500,1000,0,10,0,0,NA,NA
"Cox",2,9,NA,0.0192589726605621,0.0384615384615385,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,13.3789999999999,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,9,NA,0.0198815881892106,0.04,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,68.2730000000001,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,10,NA,0.0184069481613036,0.0909090909090909,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,79.0969999999998,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,10,NA,0.0178139078887439,0.0227272727272727,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,79.8489999999993,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,10,NA,0.0168086696374626,0.0113636363636364,0,0,6.5,0,0,0.13,0,0,0.65,-0.0143576830751316,-0.0327736762672231,0.261904761904762,32.2820000000002,500,1000,0,10,0,0,NA,NA
"Cox",2,10,NA,0.0197196053321123,0.0526315789473684,0,2,1,0,0.04,0.02,0,0.1,0.1,-0.0143576830751316,0.0327736762672231,0,3.67000000000007,500,1000,0,10,0,0,NA,NA
"SVM",2,10,NA,0.0195054236986045,0.0833333333333333,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,74.3900000000003,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,10,NA,0.0198815881892106,0.166666666666667,10,3,1.5,0.2,0.06,0.03,0.1,0.15,0.15,0.129219147676184,0.0655473525344462,0.0238095238095238,41.4660000000003,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",3,1,NA,0.0393924099103776,0.2,10,2,1.5,0.2,0.04,0.03,0.1,0.1,0.15,0.129219147676184,0.0327736762672231,0.0238095238095238,98.461,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",3,1,NA,0.0213774478938802,0.05,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,89.811,500,1000,0,10,0,0,NA,NA
