"","Feature","Beta","P.Value"
"82","MARCH7",1.8536878015002,0.0653902814586182
"83","KLHL14",1.85286434083828,0.0323153618209232
"84","EYA3.1",1.85037359399096,0.0222348448633181
"85","B4GALT1.5",-1.83970703621212,0.0186659578402021
"86","C9orf27",1.8361192466228,0.0364316097777147
"87","UNC5C.4",1.83603307739872,0.0101091970437787
"88","PRO2949",-1.8321289719226,0.113144271349956
"89","LOC100507063",-1.83064671635678,0.0517481249866368
"90","RTKN2.1",1.83021774462699,0.00717902399663507
"91","SCD5.2",1.82758238065364,0.00929901641654381
"92","LOC338579.1",-1.82754435682469,0.0558832429458751
"93","LOC338667",-1.81901408108779,0.00211374057185483
"94","LPPR1",-1.81814314029243,0.106065272412791
"95","TMPRSS12",1.81717931182495,0.0310502573880235
"96","RAD21L1.1",1.81531631152081,0.100207224416983
"97","MTMR7",-1.81497179336502,0.0329257160048149
"98","COL27A1.4",-1.81205772888527,0.000135064261625779
"99","BCAS1.1",1.80839334557487,0.024365594016655
"100","MCART6.1",1.80834929436885,0.005885005607847
"101","NPAS3.8",-1.80291665739891,0.0221499600079954
"102","ARMCX4.1",1.78954959736933,0.0161029482200938
"103","CENPI",1.78846001875735,0.0346369106395609
"104","AGBL3.1",-1.78747886221748,0.0483247496232027
"105","ST7OT4",1.78484381300378,0.0642156019074459
"106","LOC284260.2",1.7741838060692,0.0869504756526202
"107","ENPP1",1.76383570948082,0.00480186874892078
"108","MBL2",1.76323001064118,0.034483658389114
"109","C14orf148",-1.75819407095977,0.00224374903191565
"110","RBMS3",1.75819314289986,0.00187206947148828
"111","LRMP.1",-1.7579352398928,0.0693285780035807
"112","TTC28.2",-1.74387525122325,0.00109417170637184
"113","LOC100286987",1.74354336858887,0.0382271001344595
"114","GLS.7",1.74123225787174,0.0472453649195845
"115","FLJ43390",-1.74050953493215,0.0501239711035179
"116","RAG2",1.73886073646313,0.00897137737231387
"117","ATP8B5P.1",-1.73638543113735,0.0647832855814252
"118","RNASET2.1",-1.7351013747603,0.0213567917554125
"119","LOC340107.1",1.72650822567029,0.102371898246818
"120","C9orf9.1",-1.72325774135819,0.00217865273133683
"121","REPS1.1",1.72268965663452,0.0015927288763224
"122","`IGH@`",-1.72108789443353,0.088237638547368
"123","NAALAD2.1",1.71973651342093,0.0513462157004733
"124","ZNF705G",1.71292663192144,0.00923428482539288
"125","`KRTAP8-1`",-1.71139064666119,0.00257268799262431
"126","DYDC1",-1.70765344854039,0.0130162314635854
"127","EFHC2",-1.70390535670704,0.03114948318739
"128","SPRR2C",-1.70118687505679,0.0185761826352522
"129","AFF4",-1.70035198110813,0.10101484229929
"130","MBLAC2",1.69712300209081,0.104479270156471
"131","LOC285326",-1.69495782512774,0.14063773631121
"132","`LY86-AS.2`",1.69469883462473,0.123389484620596
"133","NT5DC4",1.69040681457492,0.000855947623581985
"134","RIT2",1.68891056396526,0.0424652497511648
"135","SNRPN.8",-1.68786137339639,0.0517782154031663
"136","MRPS18C.1",-1.67757039991038,0.00886497589530938
"137","ERI2.2",-1.67716243362249,0.0066080476752858
"138","CCL16",-1.67426992773784,0.00214394298997189
"139","CDH19",1.66957697823433,0.0198272960848413
"140","ASB10.2",-1.66871943619078,0.00353701440469107
"141","AFM",1.66867058075773,0.0129935311978198
"142","TBC1D28",1.66738198227228,0.0114636538925997
"143","RAB3GAP1.3",1.66502703727713,0.0795716906637671
"144","SPTAN1.2",-1.663023645328,0.00420809418308227
"145","IL4.1",-1.66196929806046,0.0277118517473842
"146","SYTL3.2",1.66125934203102,0.0274221577157509
"147","DSG1",1.66091317240181,0.0450294786297979
"148","LOC728716.1",-1.65935251280874,0.0161443449353114
"149","C10orf44",-1.65757225839995,0.0759934995507061
"150","ABHD5.3",-1.6572987002516,0.00518699965656258
"151","TLL2",1.652939936278,0.0177467006362418
"152","OR5E1P",-1.64883705588732,0.0209434491305932
"153","BAIAP2L2",-1.6487761354218,0.00276979109684468
"154","NLGN4Y.1",1.64624428442216,0.0561556778357322
"155","FLI1.2",-1.64261497586272,0.0222786972694422
"156","KNG1.1",-1.64142649819058,0.0432461292925032
"157","PFKFB1.2",1.6395666313057,0.0544163000270941
"158","C9orf95",-1.63727131599826,0.000355625970077292
"159","WDR88",1.63339901053452,0.0487843396359743
"160","CYP2A6.2",-1.63247410518122,0.00121157340190904
"161","PRDM2.3",-1.63054562792783,0.0154765333352389
"162","LOC728853",-1.62845924954568,0.0443783886471447
"163","FAM13C.1",-1.62645027105357,0.103799415062678
"164","LOC100506267",-1.62419426262401,0.140923826343539
"165","CDY1",1.62401154709971,0.0711245027090142
"166","C8orf79",-1.62348648819612,0.00232996033013619
"167","PCDH15.1",1.62118737819055,0.119568003524661
"168","LOC150005.1",1.6192821106413,0.111990447808869
"169","IFNA8",1.61560764637724,0.157134279674822
"170","ANKRD18A",-1.61304316019855,0.020242421207211
"171","ESRRB",1.60847605133156,0.0318850294460019
"172","GLS2",1.60615109350334,0.144809771800016
"173","LOC255411",-1.60559450055765,0.056720332384524
"174","BHLHE22.1",1.5954033072144,0.0208604183340151
"175","TPH2",1.59394333619197,0.0434644176911588
"176","C6orf118",-1.59206875223836,0.0518783289179097
"177","FABP6",-1.58930218358884,0.00509284066963094
"178","C10orf136",1.58858370228364,0.0907188255407
"179","CXorf22",-1.58577289095663,0.00706335748645534
"180","MCF2",-1.58517802297524,0.0496917363078992
"181","DCT.2",-1.5837335059292,0.00158255920113316
"182","LOC285548",1.58293578513805,2.33305395806205e-05
"183","`BDNF-AS`",-1.58272100796152,0.0560391762042889
"184","E2F7.1",-1.58262392372933,0.00102804479017267
"185","LOC145663",1.58110955045977,0.0930874551193274
"186","FGA",-1.57585111797091,0.145169050727076
"187","MIB1.5",1.5741088490267,0.107707936825573
"188","KLHDC1.1",1.57357436262005,0.155723335445525
"189","LOC647979.1",1.57214466619805,0.000274545310640553
"190","TXNDC9",1.57199763186023,0.0127656596610491
"191","CLCA2.3",-1.56922435848584,0.0552062495925713
"192","CLEC7A.5",-1.56665557922624,0.100418086160713
"193","C15orf26",-1.55892612639195,0.00345583312434894
"194","APOH.1",1.55891111300147,0.0107683747302999
"195","EMR3",-1.55596430350505,0.00942172503086568
"196","SLC2A2",1.55432350506366,0.0900245379519027
"197","CYLC1.1",-1.55386228979178,0.0184678609076005
"198","MTBP.2",-1.55163247445517,0.03679123342568
"199","OLAH.2",-1.55001193457876,0.0686155392131443
"200","VWA3B.4",-1.54922220951523,0.00141891142377913
"201","LOC731223",-1.54873042339469,0.0357530573624693
"202","RBM46.1",1.54447621724909,0.0507174546958622
"203","KIAA1383",1.54271557891412,0.0630487480956734
"204","C12orf51.5",1.53436661552072,0.00594192899170303
"205","TRPC4",1.53419074049253,0.0431110183798456
"206","UPB1",-1.53289478264369,0.00697227998355313
"207","NCRNA00052",-1.53198805427704,0.04220313491727
