"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"WBP4.2",0.657241065747928,0.0281796583779496,23.3232446232284,2.57608161735634e-120,"WBP4.2",5.15216323471268e-116
"LNPEP.1",0.656560253879143,0.0216633187806374,30.3074639914349,9.1406443741318e-202,"LNPEP.1",1.82812887482636e-197
"ARL3.1",0.650568921462445,0.0271128730696217,23.9948352132171,3.1483830841405e-127,"ARL3.1",6.296766168281e-123
"INPP4A.5",0.649494481599221,0.0250414257505636,25.9368012056823,2.56210744161864e-148,"INPP4A.5",5.12421488323727e-144
"B4GALT5.1",0.646499705566453,0.0231452831921334,27.9322443454131,1.08335543177646e-171,"B4GALT5.1",2.16671086355292e-167
"CAMSAP1L1.1",0.645090357049544,0.0278642370425219,23.1511939862237,1.41404535978246e-118,"CAMSAP1L1.1",2.82809071956491e-114
"NFS1.1",0.644396871780648,0.0261865078957591,24.6079727142621,1.03784905587789e-133,"NFS1.1",2.07569811175579e-129
"ARHGEF7.2",0.637908362840083,0.0268067734183014,23.7965365277633,3.62723870022261e-125,"ARHGEF7.2",7.25447740044522e-121
"LCOR",0.631515410777481,0.0250553101551159,25.2048530578072,3.54383092898242e-140,"LCOR",7.08766185796485e-136
"LSM14A",0.628863968473561,0.0226221236298624,27.7986266348323,4.50675125027747e-170,"LSM14A",9.01350250055493e-166
"AFF4.3",0.626857817230994,0.0293554626704282,21.3540431731117,3.57620045730964e-101,"AFF4.3",7.15240091461929e-97
"CPEB1",0.626164793434137,0.028694399435136,21.8218469722494,1.43927580290436e-105,"CPEB1",2.87855160580871e-101
"MARVELD1",0.621569955837942,0.0238579510284724,26.0529479290218,1.24575377111513e-149,"MARVELD1",2.49150754223026e-145
"WBP4",0.613997656009612,0.0244604038264399,25.1016974358341,4.76555120894987e-139,"WBP4",9.53110241789973e-135
"WBP4.1",0.613660764167307,0.0243756135105775,25.1751925710923,7.48971278078566e-140,"WBP4.1",1.49794255615713e-135
"NRBF2.1",0.605735351425656,0.026220378355044,23.1017014027614,4.45120322086e-118,"NRBF2.1",8.90240644172001e-114
